Name,label,PV,unit,fbk,Category,Value
Mono Rotation,monoth,SMTR1604-1-I22-19,deg,sp,mono,
Mono Translation,monot,SMTR1604-1-I22-20,mm,sp,mono,
Mono Z,monoz,SMTR1604-1-I22-21,mm,sp,mono,
Mono Roll,monor,SMTR1604-1-I22-22,deg,sp,mono,
Mono Pitch,monop,SMTR1604-1-I22-23,deg,sp,mono,
HE Slit U,msu,SMTR1604-1-I22-14,mm,sp,mono_slit,
HE Slit L,msl,SMTR1604-1-I22-15,mm,sp,mono_slit,
HE Slit I,msi,SMTR1604-1-I22-16,mm,sp,mono_slit,
HE Slit O,mso,SMTR1604-1-I22-17,mm,sp,mono_slit,
Trans Table Yaw,tyaw,TBL1604-3-I22-01:Yaw,deg,fbk,table,
Trans Table US,tus,SMTR1604-3-I22-01,mm,fbk,table,
Trans Table DS,tds,SMTR1604-3-I22-02,mm,fbk,table,
Slit 1 U,s1u,SMTR1604-3-I22-03,mm,sp,us_slit,
Slit 1 L,s1l,SMTR1604-3-I22-04,mm,sp,us_slit,
Slit 1 I,s1i,SMTR1604-3-I22-05,mm,sp,us_slit,
Slit 1 O,s1o,SMTR1604-3-I22-06,mm,sp,us_slit,
Slit 2 U,s2u,SMTR1604-3-I22-08,mm,sp,ds_slit,
Slit 2 L,s2l,SMTR1604-3-I22-09,mm,sp,ds_slit,
Slit 2 I,s2i,SMTR1604-3-I22-10,mm,sp,ds_slit,
Slit 2 O,s2o,SMTR1604-3-I22-11,mm,sp,ds_slit,
Beamstop X,bsx,SMTR1604-3-I22-26,mm,sp,bs,
Beamstop Z,bsz,SMTR1604-3-I22-27,mm,sp,bs,
